PowerB: 97,PowerC: 100,SpeedB: 270.0,SpeedC: 210.0,GyroAngle: 2.0
PowerB: 97,PowerC: 100,SpeedB: 580.0,SpeedC: 570.0,GyroAngle: -1.0
PowerB: 97,PowerC: 100,SpeedB: 730.0,SpeedC: 740.0,GyroAngle: 0.0
PowerB: 98,PowerC: 100,SpeedB: 790.0,SpeedC: 800.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 760.0,SpeedC: 760.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 850.0,SpeedC: 850.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 680.0,SpeedC: 680.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 850.0,SpeedC: 850.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 890.0,SpeedC: 890.0,GyroAngle: 3.0
PowerB: 97,PowerC: 100,SpeedB: 810.0,SpeedC: 800.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 680.0,SpeedC: 690.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 890.0,SpeedC: 890.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 770.0,SpeedC: 770.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 800.0,SpeedC: 800.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 850.0,SpeedC: 850.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 770.0,SpeedC: 770.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 800.0,SpeedC: 800.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 810.0,SpeedC: 810.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 810.0,SpeedC: 810.0,GyroAngle: 3.0
PowerB: 97,PowerC: 100,SpeedB: 890.0,SpeedC: 880.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 680.0,SpeedC: 690.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 850.0,SpeedC: 850.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 850.0,SpeedC: 850.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 760.0,SpeedC: 760.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 810.0,SpeedC: 810.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 850.0,SpeedC: 850.0,GyroAngle: 3.0
PowerB: 97,PowerC: 100,SpeedB: 810.0,SpeedC: 800.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 840.0,SpeedC: 850.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 810.0,SpeedC: 810.0,GyroAngle: 3.0
PowerB: 97,PowerC: 100,SpeedB: 690.0,SpeedC: 680.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 880.0,SpeedC: 890.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 810.0,SpeedC: 810.0,GyroAngle: 3.0
PowerB: 97,PowerC: 100,SpeedB: 810.0,SpeedC: 800.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 840.0,SpeedC: 850.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 730.0,SpeedC: 730.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 890.0,SpeedC: 890.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 680.0,SpeedC: 680.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 930.0,SpeedC: 930.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 810.0,SpeedC: 810.0,GyroAngle: 3.0
PowerB: 97,PowerC: 100,SpeedB: 730.0,SpeedC: 720.0,GyroAngle: 2.0
PowerB: 98,PowerC: 100,SpeedB: 880.0,SpeedC: 890.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 770.0,SpeedC: 770.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 850.0,SpeedC: 850.0,GyroAngle: 3.0
PowerB: 97,PowerC: 100,SpeedB: 810.0,SpeedC: 800.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 760.0,SpeedC: 770.0,GyroAngle: 3.0
PowerB: 98,PowerC: 100,SpeedB: 730.0,SpeedC: 730.0,GyroAngle: 3.0
PowerB: 0,PowerC: 0,SpeedB: 880.0,SpeedC: 850.0,GyroAngle: 1.0
PowerB: 0,PowerC: 0,SpeedB: 200.0,SpeedC: 200.0,GyroAngle: 1.0
PowerB: 0,PowerC: 0,SpeedB: 0.0,SpeedC: 10.0,GyroAngle: 1.0
PowerB: 0,PowerC: 0,SpeedB: 0.0,SpeedC: 0.0,GyroAngle: 1.0
PowerB: 0,PowerC: 0,SpeedB: 0.0,SpeedC: 0.0,GyroAngle: 1.0
PowerB: 36,PowerC: -36,SpeedB: -37160.0,SpeedC: -37210.0,GyroAngle: -27.0
PowerB: 36,PowerC: -36,SpeedB: 180.0,SpeedC: -220.0,GyroAngle: -123.0
PowerB: 38,PowerC: -38,SpeedB: 170.0,SpeedC: -190.0,GyroAngle: -204.0
PowerB: 37,PowerC: -37,SpeedB: 210.0,SpeedC: -190.0,GyroAngle: -300.0
PowerB: 36,PowerC: -36,SpeedB: 230.0,SpeedC: -200.0,GyroAngle: -398.0
PowerB: 36,PowerC: -36,SpeedB: 220.0,SpeedC: -190.0,GyroAngle: -494.0
PowerB: 34,PowerC: -34,SpeedB: 190.0,SpeedC: -170.0,GyroAngle: -581.0
PowerB: 34,PowerC: -34,SpeedB: 200.0,SpeedC: -170.0,GyroAngle: -665.0
PowerB: 32,PowerC: -32,SpeedB: 210.0,SpeedC: -170.0,GyroAngle: -752.0
PowerB: 0,PowerC: 0,SpeedB: 210.0,SpeedC: -180.0,GyroAngle: -848.0
PowerB: 0,PowerC: 0,SpeedB: 90.0,SpeedC: -60.0,GyroAngle: -879.0
PowerB: 0,PowerC: 0,SpeedB: 20.0,SpeedC: -10.0,GyroAngle: -888.0
PowerB: 0,PowerC: 0,SpeedB: 0.0,SpeedC: 0.0,GyroAngle: -886.0
PowerB: 0,PowerC: 0,SpeedB: 0.0,SpeedC: 0.0,GyroAngle: -887.0
PowerB: 71,PowerC: 69,SpeedB: -1900.0,SpeedC: 1920.0,GyroAngle: -886.0
PowerB: 72,PowerC: 68,SpeedB: 440.0,SpeedC: 460.0,GyroAngle: -889.0
PowerB: 74,PowerC: 66,SpeedB: 580.0,SpeedC: 620.0,GyroAngle: -882.0
PowerB: 74,PowerC: 66,SpeedB: 480.0,SpeedC: 480.0,GyroAngle: -886.0
PowerB: 71,PowerC: 69,SpeedB: 560.0,SpeedC: 510.0,GyroAngle: -893.0
PowerB: 70,PowerC: 70,SpeedB: 640.0,SpeedC: 620.0,GyroAngle: -897.0
