PowerB: 70,PowerC: 70,SpeedB: 80.0,SpeedC: 70.0,GyroAngle: 4.0
PowerB: 70,PowerC: 70,SpeedB: 440.0,SpeedC: 450.0,GyroAngle: 5.0
PowerB: 70,PowerC: 70,SpeedB: 510.0,SpeedC: 500.0,GyroAngle: 4.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 540.0,GyroAngle: 3.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 3.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 3.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 3.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 3.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 530.0,GyroAngle: 2.0
PowerB: 70,PowerC: 70,SpeedB: 600.0,SpeedC: 600.0,GyroAngle: 2.0
PowerB: 70,PowerC: 70,SpeedB: 560.0,SpeedC: 560.0,GyroAngle: 2.0
PowerB: 70,PowerC: 70,SpeedB: 510.0,SpeedC: 510.0,GyroAngle: 2.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 2.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 540.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 510.0,SpeedC: 510.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 570.0,SpeedC: 560.0,GyroAngle: 0.0
PowerB: 68,PowerC: 72,SpeedB: 510.0,SpeedC: 520.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 540.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 71,PowerC: 69,SpeedB: 530.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 510.0,SpeedC: 520.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 71,PowerC: 69,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: -1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 570.0,SpeedC: 570.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 560.0,SpeedC: 600.0,GyroAngle: -1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 510.0,GyroAngle: -1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 540.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 510.0,SpeedC: 520.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 68,PowerC: 72,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: -1.0
PowerB: 70,PowerC: 70,SpeedB: 510.0,SpeedC: 520.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 540.0,GyroAngle: 2.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 530.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 1.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 530.0,SpeedC: 530.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 540.0,SpeedC: 540.0,GyroAngle: 0.0
PowerB: 70,PowerC: 70,SpeedB: 590.0,SpeedC: 590.0,GyroAngle: 0.0
